Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
10N_S10_L001_R1_001	10N_S10_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2681088.0	0.0	35-301	44.0	92.69618508903156	273.6379253497088	pass	pass	warn	pass	warn	fail	pass	warn	pass	pass	pass
10N_S10_L001_R2_001	10N_S10_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2681088.0	0.0	35-301	45.0	95.13367401608015	274.66417887066746	pass	fail	fail	pass	warn	fail	fail	warn	pass	pass	pass
11N_S11_L001_R1_001	11N_S11_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1975529.0	0.0	35-301	38.0	99.48385393602669	283.6714171242234	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
11N_S11_L001_R2_001	11N_S11_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1975529.0	0.0	35-301	38.0	99.7371853614703	283.85746045742684	pass	fail	fail	pass	fail	warn	fail	warn	pass	pass	pass
12N_S12_L001_R1_001	12N_S12_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	969858.0	0.0	35-301	42.0	97.29439798399648	289.74116520150375	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass
12N_S12_L001_R2_001	12N_S12_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	969858.0	0.0	35-301	42.0	98.30249386250341	289.9314342924428	pass	fail	fail	pass	fail	warn	fail	warn	pass	pass	pass
13N_S13_L001_R1_001	13N_S13_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1586822.0	0.0	35-301	40.0	91.61848691124433	274.71042246704417	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
13N_S13_L001_R2_001	13N_S13_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1586822.0	0.0	35-301	40.0	95.21734937519247	274.87451207507837	pass	fail	fail	pass	fail	pass	fail	warn	pass	pass	pass
14NB_S14_L001_R1_001	14NB_S14_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1188307.0	0.0	35-301	40.0	94.32100264320687	273.73521152362144	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
14NB_S14_L001_R2_001	14NB_S14_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1188307.0	0.0	35-301	41.0	96.79648055698186	274.1691507329335	pass	fail	fail	pass	fail	pass	fail	warn	pass	pass	pass
15N_S15_L001_R1_001	15N_S15_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2181509.0	0.0	35-301	40.0	99.59837231363355	287.35686215367434	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
15N_S15_L001_R2_001	15N_S15_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2181509.0	0.0	35-301	40.0	99.79200634396004	287.577627229592	pass	fail	fail	pass	fail	pass	fail	warn	pass	pass	pass
1NB_S1_L001_R1_001	1NB_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	792508.0	0.0	35-301	36.0	87.73158027247636	283.24483664518215	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
