Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1NB_S1_L001_R1_001	12.268419727523636	36.0	283.24483664518215	18.181818181818183	792508.0
1NB_S1_L001_R2_001	7.826757568753692	36.0	283.6358207109581	45.45454545454545	792508.0
2N_S2_L001_R1_001	4.700300266048757	36.0	282.12587404728214	9.090909090909092	2580381.0
2N_S2_L001_R2_001	2.675177541333568	36.0	282.44472812348255	36.36363636363637	2580381.0
3NB_S3_L001_R1_001	1.3396816926442767	43.0	291.04385646207925	18.181818181818183	946816.0
3NB_S3_L001_R2_001	0.686909245514471	43.0	291.38256535588755	36.36363636363637	946816.0
4N_S4_L001_R1_001	8.20017935932367	45.0	280.2156825106097	9.090909090909092	2068151.0
4N_S4_L001_R2_001	4.732627410019575	45.0	279.4359555951185	27.27272727272727	2068151.0
5NB_S5_L001_R1_001	1.2962565736371943	36.0	290.5282729529378	9.090909090909092	884255.0
5NB_S5_L001_R2_001	0.7359966060797802	36.0	290.6499109419794	36.36363636363637	884255.0
6N_S6_L001_R1_001	2.239297682432479	37.0	284.1164623672097	9.090909090909092	770764.0
6N_S6_L001_R2_001	1.202683238191554	37.0	284.40339455397503	36.36363636363637	770764.0
7N_S7_L001_R1_001	0.766827501045924	38.0	278.04048093008475	9.090909090909092	428004.0
7N_S7_L001_R2_001	0.42242929664783446	38.0	278.3121933439874	36.36363636363637	428004.0
8NB_S8_L001_R1_001	9.927939941078264	37.0	278.9269422465731	18.181818181818183	1372161.0
8NB_S8_L001_R2_001	6.339301740406356	37.0	279.24593032450275	45.45454545454545	1372161.0
9N_S9_L001_R1_001	2.8314349752941155	42.0	287.39690953898366	9.090909090909092	1899846.0
9N_S9_L001_R2_001	1.33657963365944	42.0	287.7023479797836	36.36363636363637	1899846.0
10N_S10_L001_R1_001	7.303814910968441	44.0	273.6379253497088	9.090909090909092	2681088.0
10N_S10_L001_R2_001	4.86632598391985	45.0	274.66417887066746	36.36363636363637	2681088.0
11N_S11_L001_R1_001	0.5161460639733093	38.0	283.6714171242234	9.090909090909092	1975529.0
11N_S11_L001_R2_001	0.2628146385297043	38.0	283.85746045742684	36.36363636363637	1975529.0
12N_S12_L001_R1_001	2.7056020160035246	42.0	289.74116520150375	9.090909090909092	969858.0
12N_S12_L001_R2_001	1.697506137496589	42.0	289.9314342924428	36.36363636363637	969858.0
13N_S13_L001_R1_001	8.381513088755668	40.0	274.71042246704417	9.090909090909092	1586822.0
13N_S13_L001_R2_001	4.7826506248075304	40.0	274.87451207507837	36.36363636363637	1586822.0
14NB_S14_L001_R1_001	5.678997356793133	40.0	273.73521152362144	9.090909090909092	1188307.0
14NB_S14_L001_R2_001	3.2035194430181377	41.0	274.1691507329335	36.36363636363637	1188307.0
15N_S15_L001_R1_001	0.40162768636645296	40.0	287.35686215367434	9.090909090909092	2181509.0
15N_S15_L001_R2_001	0.20799365603996023	40.0	287.577627229592	36.36363636363637	2181509.0
Undetermined_S0_L001_R1_001	0.6032786069350919	40.0	283.8272281724085	9.090909090909092	556005.0
Undetermined_S0_L001_R2_001	0.5991468543237772	41.0	284.4566649580489	36.36363636363637	556005.0
