Mbp	O_sativa	percentage	L_pilosa	percentage	L_elegans	percentage	E_uniglumis	percentage	C_acutiformis	percentage
2C_genome_size	799	200	588	200	8330	200	238	200	800	200
1C_genome_size	399.5	100	294	100	4165	100	119	100	400	100
fastq_pass	6533.8	1635.49	1062.4	361.36	1939.68	46.57	653.38	549.06	1180.31	295.08
chopped_filtered	6331.247	1584.79	1039.4	353.54	1731.88	41.58	582.517	489.51	921.993	230.5
canu_corrected_reads	2231.732	558.63	372.1	126.56	371.218	8.91	162.482	136.54	212.467	53.12
flye_assembly	285.974	71.58	1.092	0.37	0.975	0.02	1.401	1.18	1.324	0.33
canu_assembly	148.68	37.22								
raven_assembly	87.295	21.85	2.034	0.69	1.298	0.03	0.701	0.59	1.045	0.26
wtdbg2_assembly	186.798	46.76	2.216	0.75	2.083	0.05	0.757	0.64	1.613	0.4

