species	genome_2C_Mbp	illum_nr_reads	illum_avg_readLen	ont_bp
Luzula pilosa	588	1585016	283.44032867807	1062412404.0
Luzula elegans	8330	5160762	282.285301085383	1939675144.0
Oryza sativa	799	1893632	291.213210908983	6533831963.0
Secale cereale	7917	4136302	279.825819052864	
Carex acutiformis	800	1768510	290.589091947458	1180311844.0
Cyperus papyrus	542	1541528	284.259928460592	
Eleocharis uniglumis var. sternerii	238	856008	278.176337137036	653378357.0
Drosera capensis	789	2744322	279.086436285538	
Drosera filiformis var. tracyi	5930	3799692	287.549628759384	
Nepenthes ventricosa	3315	5362176	274.151052110188	
Drosophyllum lusitanicum	20833	3951058	283.764438790825	
Rumex acetosa	6104	1939716	289.836299746973	
Rumex alpinus	868	3173644	274.792467271061	
Chamaelirium luteum	1800	2376614	273.952181128277	
Paris quadrifolia	99019	4363018	287.467244691633	

